网点名称,省份,城市,区,标准化详细地址,完整标准地址,完整地址,经度,纬度
南山后海,广东,深圳市,南山区,粤海街道兰月三街阿里中心t,广东深圳市南山区粤海街道兰月三街阿里中心t,广东深圳市南山区粤海街道兰月三街阿里中心t,113.942744,22.509406
南山后海,广东,深圳市,南山区,南山区海岸明珠B座,广东深圳市南山区海岸明珠B座,广东深圳市南山区海岸明珠B座,113.931811,22.515397
南山后海,广东,深圳市,南山区,粤海街道，金钟大厦街铺，欧抱,广东深圳市南山区粤海街道，金钟大厦街铺,广东深圳市南山区粤海街道，金钟大厦街铺,113.922584,22.517437
南山后海,广东,深圳市,南山区,粤海街道文心五路闽泰大厦B区楼,广东深圳市南山区粤海街道文心五路闽泰大厦B区楼,广东深圳市南山区粤海街道文心五路闽泰大厦B区楼,113.937156,22.520532
南山后海,广东,深圳市,南山区,粤海街道文心五路闽泰大厦楼,广东深圳市南山区粤海街道文心五路闽泰大厦楼,广东深圳市南山区粤海街道文心五路闽泰大厦楼,113.937156,22.520532
南山后海,广东,深圳市,南山区,粤街道南山区蔚蓝海岸二期栋,广东深圳市南山区粤街道南山区蔚蓝海岸二期栋,广东深圳市南山区粤街道南山区蔚蓝海岸二期栋,113.936772,22.508816
南山后海,广东,深圳市,南山区,茂业百货楼曼娅奴专柜,广东深圳市南山区茂业百货楼曼娅奴专柜,广东深圳市南山区茂业百货楼曼娅奴专柜,113.930478,22.533191
南山后海,广东,深圳市,南山区,南山区粤海街道登良路育德佳园5栋C座,广东深圳市南山区粤海街道登良路育德佳园5栋C座,广东深圳市南山区粤海街道登良路育德佳园5栋C座,113.934184,22.510473
南山后海,广东,深圳市,南山区,广东省深圳市南山区科苑南路2666号中国华润大厦,广东深圳市南山区广东省深圳市南山区科苑南路2666号中国华润大厦,广东深圳市南山区广东省深圳市南山区科苑南路2666号中国华润大厦,113.946487,22.514871
南山后海,广东,深圳市,南山区,漾日湾畔2,广东深圳市南山区漾日湾畔2,广东深圳市南山区漾日湾畔2,113.939559,22.519766
南山后海,广东,深圳市,南山区,海印长城一期2111-15号,广东深圳市南山区海印长城一期2111-15号,广东深圳市南山区海印长城一期2111-15号,113.931397,22.517484
南山后海,广东,深圳市,南山区,海德二道文心五路海岸城楼铺,广东深圳市南山区海德二道文心五路海岸城楼铺,广东深圳市南山区海德二道文心五路海岸城楼铺,113.937635,22.518308
南山后海,广东,深圳市,南山区,创业路蔚蓝海岸三期40栋,广东深圳市南山区创业路蔚蓝海岸三期40栋,广东深圳市南山区创业路蔚蓝海岸三期40栋,113.937721,22.513069
南山后海,广东,深圳市,南山区,粤海街道粤海街道茂业百货南山店楼EF旁边YAGE,广东深圳市南山区粤海街道粤海街道茂业百货南山店楼EF旁边YAGE,广东深圳市南山区粤海街道粤海街道茂业百货南山店楼EF旁边YAGE,113.930332,22.51973
南山后海,广东,深圳市,南山区,南海大道2702号保利大厦,广东深圳市南山区南海大道2702号保利大厦,广东深圳市南山区南海大道2702号保利大厦,113.927804,22.515439
南山后海,广东,深圳市,南山区,粤海街道东滨路与科苑路交界处深圳湾1号T8座12C,广东深圳市南山区粤海街道东滨路与科苑路交界处深圳湾1号T8座12C,广东深圳市南山区粤海街道东滨路与科苑路交界处深圳湾1号T8座12C,113.938942,22.500703
南山后海,广东,深圳市,南山区,海印长城二期13,广东深圳市南山区海印长城二期13,广东深圳市南山区海印长城二期13,113.93184,22.519274
南山后海,广东,深圳市,南山区,茂业百货南山店楼fancl专柜,广东深圳市南山区茂业百货南山店楼fancl专柜,广东深圳市南山区茂业百货南山店楼fancl专柜,113.930236,22.519419
南山后海,广东,深圳市,南山区,中心路兰香一街2号海王星辰大厦13A,广东深圳市南山区中心路兰香一街2号海王星辰大厦13A,广东深圳市南山区中心路兰香一街2号海王星辰大厦13A,113.939953,22.506692
南山后海,广东,深圳市,南山区,海德二道288号南山茂业,广东深圳市南山区海德二道288号南山茂业,广东深圳市南山区海德二道288号南山茂业,113.930312,22.519895
南山后海,广东,深圳市,南山区,创业路东蔚蓝海岸三期40栋D室,广东深圳市南山区创业路东蔚蓝海岸三期40栋D室,广东深圳市南山区创业路东蔚蓝海岸三期40栋D室,113.937721,22.513069
南山后海,广东,深圳市,南山区,粤海街道南山海德2道深圳市南山区第二外国语学校快递公司,广东深圳市南山区粤海街道南山海德2道深圳市南山区第二外国语学校快递公司,广东深圳市南山区粤海街道南山海德2道深圳市南山区第二外国语学校快递公司,113.943972,22.549477
南山后海,广东,深圳市,南山区,深圳湾华润悦府二期2幢,广东深圳市南山区深圳湾华润悦府二期2幢,广东深圳市南山区深圳湾华润悦府二期2幢,113.946225,22.519435
南山后海,广东,深圳市,南山区,后海大道名仕花园,广东深圳市南山区后海大道名仕花园,广东深圳市南山区后海大道名仕花园,113.932393,22.512566
南山后海,广东,深圳市,南山区,南山区粤海街道海德一道与后海滨路交叉口南120米恒裕深圳湾C栋,广东深圳市南山区粤海街道海德一道与后海滨路交叉口南120米恒裕深圳湾C栋,广东深圳市南山区粤海街道海德一道与后海滨路交叉口南120米恒裕深圳湾C栋,113.940503,22.513586
南山后海,广东,深圳市,南山区,南山街道,广东深圳市南山区南山街道,广东深圳市南山区南山街道,113.930478,22.533191
南山后海,广东,深圳市,南山区,南海大道海王大厦B座,广东深圳市南山区南海大道海王大厦B座,广东深圳市南山区南海大道海王大厦B座,113.926181,22.515944
南山后海,广东,深圳市,南山区,海印长城一期二栋,广东深圳市南山区海印长城一期二栋,广东深圳市南山区海印长城一期二栋,113.931397,22.517484
南山后海,广东,深圳市,南山区,保利大厦,广东深圳市南山区保利大厦,广东深圳市南山区保利大厦,113.927804,22.515439
南山后海,广东,深圳市,南山区,粤海街道东滨路深圳湾1号南区T5座,广东深圳市南山区粤海街道东滨路深圳湾1号南区T5座,广东深圳市南山区粤海街道东滨路深圳湾1号南区T5座,113.942204,22.507065
南山后海,广东,深圳市,南山区,海德一道88号中洲控股金融中心A座楼,广东深圳市南山区海德一道88号中洲控股金融中心A座楼,广东深圳市南山区海德一道88号中洲控股金融中心A座楼,113.924164,22.488255
南山后海,广东,深圳市,南山区,南山区粤海街道海德三道漾日湾畔3栋,广东深圳市南山区粤海街道海德三道漾日湾畔3栋,广东深圳市南山区粤海街道海德三道漾日湾畔3栋,113.938495,22.519813
南山后海,广东,深圳市,南山区,粤海街道海雅缤纷广场楼Zoespace,广东深圳市南山区粤海街道海雅缤纷广场楼Zoespace,广东深圳市南山区粤海街道海雅缤纷广场楼Zoespace,113.929171,22.518621
南山后海,广东,深圳市,南山区,粤海街道海德二道223号近文心二路佳嘉豪苑B座,广东深圳市南山区粤海街道海德二道223号近文心二路佳嘉豪苑B座,广东深圳市南山区粤海街道海德二道223号近文心二路佳嘉豪苑B座,113.930497,22.516155
南山后海,广东,深圳市,南山区,南山区粤海街道后海大道蔚蓝海岸2期10,广东深圳市南山区粤海街道后海大道蔚蓝海岸2期10,广东深圳市南山区粤海街道后海大道蔚蓝海岸2期10,113.93579,22.508438
南山后海,广东,深圳市,南山区,粤海街道海德三道19号海岸大厦西座楼,广东深圳市南山区粤海街道海德三道19号海岸大厦西座楼,广东深圳市南山区粤海街道海德三道19号海岸大厦西座楼,113.936569,22.518242
南山后海,广东,深圳市,南山区,南山茂业楼PAPIDO,广东深圳市南山区南山茂业楼PAPIDO,广东深圳市南山区南山茂业楼PAPIDO,113.930478,22.533191
南山后海,广东,深圳市,南山区,粤海街道海珠社区兰芷二路66号阳光金融大厦楼,广东深圳市南山区粤海街道海珠社区兰芷二路66号阳光金融大厦楼,广东深圳市南山区粤海街道海珠社区兰芷二路66号阳光金融大厦楼,113.943435,22.52004
南山后海,广东,深圳市,南山区,后海滨路3368号鹏润达广场西座1108高校校友平台,广东深圳市南山区后海滨路3368号鹏润达广场西座1108高校校友平台,广东深圳市南山区后海滨路3368号鹏润达广场西座1108高校校友平台,113.941458,22.518222
南山后海,广东,深圳市,南山区,粤海街道中洲控股大厦A座,广东深圳市南山区粤海街道中洲控股大厦A座,广东深圳市南山区粤海街道中洲控股大厦A座,113.923189,22.520368
南山后海,广东,深圳市,南山区,登良路育德佳园1A一,广东深圳市南山区登良路育德佳园1A一,广东深圳市南山区登良路育德佳园1A一,113.933573,22.511985
南山后海,广东,深圳市,南山区,南山茂业百货商场楼,广东深圳市南山区南山茂业百货商场楼,广东深圳市南山区南山茂业百货商场楼,113.930478,22.533191
南山后海,广东,深圳市,南山区,蔚蓝海岸3期33栋A送,广东深圳市南山区蔚蓝海岸3期33栋,广东深圳市南山区蔚蓝海岸3期33栋,113.93681,22.513415
南山后海,广东,深圳市,南山区,粤海街道名仕花园6栋,广东深圳市南山区粤海街道名仕花园6栋,广东深圳市南山区粤海街道名仕花园6栋,113.944859,22.528137
南山后海,广东,深圳市,南山区,粤海街道电力花园5B栋,广东深圳市南山区粤海街道电力花园5B栋,广东深圳市南山区粤海街道电力花园5B栋,113.933847,22.51344
南山后海,广东,深圳市,南山区,后海大道名仕芭朗童装,广东深圳市南山区后海大道名仕芭朗童装,广东深圳市南山区后海大道名仕芭朗童装,113.932393,22.512566
南山后海,广东,深圳市,南山区,茂业百货,广东深圳市南山区茂业百货,广东深圳市南山区茂业百货,113.930478,22.533191
南山后海,广东,深圳市,南山区,佳嘉豪苑A栋,广东深圳市南山区佳嘉豪苑A栋,广东深圳市南山区佳嘉豪苑A栋,113.930696,22.51633
南山后海,广东,深圳市,南山区,粤海街道玩胜青少儿体能l,广东深圳市南山区粤海街道玩胜青少儿体能l,广东深圳市南山区粤海街道玩胜青少儿体能l,113.948825,22.518575
南山后海,广东,深圳市,南山区,海德二道南山茂业楼曼娅奴专柜,广东深圳市南山区海德二道南山茂业楼曼娅奴专柜,广东深圳市南山区海德二道南山茂业楼曼娅奴专柜,113.930719,22.518781
南山后海,广东,深圳市,南山区,粤海街道海德三道1255号深圳工商银行大厦人力部,广东深圳市南山区粤海街道海德三道1255号深圳工商银行大厦人力部,广东深圳市南山区粤海街道海德三道1255号深圳工商银行大厦人力部,113.942937,22.518991
南山后海,广东,深圳市,南山区,粤海街道海德三道漾日湾畔4栋,广东深圳市南山区粤海街道海德三道漾日湾畔4栋,广东深圳市南山区粤海街道海德三道漾日湾畔4栋,113.938794,22.519869
南山后海,广东,深圳市,南山区,深圳湾一号T2-9A,广东深圳市南山区深圳湾一号T2-9A,广东深圳市南山区深圳湾一号T2-9A,113.942747,22.506913
南山后海,广东,深圳市,南山区,南海大道青春家园c,广东深圳市南山区南海大道青春家园c,广东深圳市南山区南海大道青春家园c,113.92864,22.517113
南山后海,广东,深圳市,南山区,创业路浪琴屿花园14栋,广东深圳市南山区创业路浪琴屿花园14栋,广东深圳市南山区创业路浪琴屿花园14栋,113.935881,22.513023
南山后海,广东,深圳市,南山区,西海湾花园,广东深圳市南山区西海湾花园,广东深圳市南山区西海湾花园,113.930763,22.514302
南山后海,广东,深圳市,南山区,兰香一街海王星辰总部大厦楼,广东深圳市南山区兰香一街海王星辰总部大厦楼,广东深圳市南山区兰香一街海王星辰总部大厦楼,113.939528,22.506219
南山后海,广东,深圳市,南山区,海德三道滨海之窗5栋,广东深圳市南山区海德三道滨海之窗5栋,广东深圳市南山区海德三道滨海之窗5栋,113.935454,22.520872
南山后海,广东,深圳市,南山区,粤海街道蔚蓝海岸社区中心路3033号喜之郎大厦层销售部,广东深圳市南山区粤海街道蔚蓝海岸社区中心路3033号喜之郎大厦层销售部,广东深圳市南山区粤海街道蔚蓝海岸社区中心路3033号喜之郎大厦层销售部,113.940767,22.508241
南山后海,广东,深圳市,南山区,粤海街道中国华润大厦层,广东深圳市南山区粤海街道中国华润大厦层,广东深圳市南山区粤海街道中国华润大厦层,113.946487,22.514871
南山后海,广东,深圳市,南山区,粤海街道文心五路保利文化广场西3门Andrew手足专业护理,广东深圳市南山区粤海街道文心五路保利文化广场西3门Andrew手足专业护理,广东深圳市南山区粤海街道文心五路保利文化广场西3门Andrew手足专业护理,113.937957,22.516688
南山后海,广东,深圳市,南山区,粤海街道后海大道2320北门电力花园1栋一单元房,广东深圳市南山区粤海街道后海大道2320北门电力花园1栋一单元房,广东深圳市南山区粤海街道后海大道2320北门电力花园1栋一单元房,113.930519,22.514547
南山后海,广东,深圳市,南山区,南山区粤海街道后海路滨海之窗1栋C单元,广东深圳市南山区粤海街道后海路滨海之窗1栋C单元,广东深圳市南山区粤海街道后海路滨海之窗1栋C单元,113.936409,22.520053
南山后海,广东,深圳市,南山区,后海滨路3288号后海汇层联想后海中心,广东深圳市南山区后海滨路3288号后海汇层联想后海中心,广东深圳市南山区后海滨路3288号后海汇层联想后海中心,113.940708,22.516057
南山后海,广东,深圳市,南山区,天海花园7,广东深圳市南山区天海花园7,广东深圳市南山区天海花园7,113.934356,22.512593
南山后海,广东,深圳市,南山区,粤海街道保利城花园,广东深圳市南山区粤海街道保利城花园,广东深圳市南山区粤海街道保利城花园,113.928406,22.515901
南山后海,广东,深圳市,南山区,后海大道2248号育德佳园2栋B单元401,广东深圳市南山区后海大道2248号育德佳园2栋B单元401,广东深圳市南山区后海大道2248号育德佳园2栋B单元401,113.933012,22.511983
南山后海,广东,深圳市,南山区,海德一道200号海印长城1期4栋,广东深圳市南山区海德一道200号海印长城1期4栋,广东深圳市南山区海德一道200号海印长城1期4栋,113.930393,22.517333
南山后海,广东,深圳市,南山区,粤海街道深圳市南山区文心二路茂业时代楼D室,广东深圳市南山区粤海街道深圳市南山区文心二路茂业时代楼D室,广东深圳市南山区粤海街道深圳市南山区文心二路茂业时代楼D室,113.930224,22.517189
南山后海,广东,深圳市,南山区,后海卓越中心2107单元,广东深圳市南山区后海卓越中心2107单元,广东深圳市南山区后海卓越中心2107单元,113.93164,22.507712
南山后海,广东,深圳市,南山区,海德二道南山茂业楼,广东深圳市南山区海德二道南山茂业楼,广东深圳市南山区海德二道南山茂业楼,113.930719,22.518781
南山后海,广东,深圳市,南山区,中心路中铁南方总部大厦楼中,广东深圳市南山区中心路中铁南方总部大厦楼中,广东深圳市南山区中心路中铁南方总部大厦楼中,113.941909,22.507775
南山后海,广东,深圳市,南山区,粤海街道文心二路美墅蓝山家园E栋,广东深圳市南山区粤海街道文心二路美墅蓝山家园E栋,广东深圳市南山区粤海街道文心二路美墅蓝山家园E栋,113.931739,22.520776
南山后海,广东,深圳市,南山区,地铁9号线南山书城，海德二道,广东深圳市南山区地铁9号线南山书城，海德二道,广东深圳市南山区地铁9号线南山书城，海德二道,113.930719,22.518781
南山后海,广东,深圳市,南山区,粤海街道蔚蓝海岸二期20栋,广东深圳市南山区粤海街道蔚蓝海岸二期20栋,广东深圳市南山区粤海街道蔚蓝海岸二期20栋,113.936612,22.506786
南山后海,广东,深圳市,南山区,南山区粤海街道观海台8栋单元,广东深圳市南山区粤海街道观海台8栋单元,广东深圳市南山区粤海街道观海台8栋单元,113.938055,22.514501
南山后海,广东,深圳市,南山区,保利城花园,广东深圳市南山区保利城花园,广东深圳市南山区保利城花园,113.928406,22.515901
南山后海,广东,深圳市,南山区,海德二道288号南山茂业层,广东深圳市南山区海德二道288号南山茂业层,广东深圳市南山区海德二道288号南山茂业层,113.930312,22.519895
南山后海,广东,深圳市,南山区,海德二号号茂业百货楼RAPIDO,广东深圳市南山区海德二号号茂业百货楼RAPIDO,广东深圳市南山区海德二号号茂业百货楼RAPIDO,113.943972,22.549477
南山后海,广东,深圳市,南山区,茂业百货楼杰西专柜,广东深圳市南山区茂业百货楼杰西专柜,广东深圳市南山区茂业百货楼杰西专柜,113.930478,22.533191
南山后海,广东,深圳市,南山区,粤海街道蔚蓝海岸一期5栋ab单元快递柜,广东深圳市南山区粤海街道蔚蓝海岸一期5栋ab单元快递柜,广东深圳市南山区粤海街道蔚蓝海岸一期5栋ab单元快递柜,113.934324,22.507272
南山后海,广东,深圳市,南山区,南山区粤海街道文心二路天悦园B座,广东深圳市南山区粤海街道文心二路天悦园B座,广东深圳市南山区粤海街道文心二路天悦园B座,113.929819,22.517442
南山后海,广东,深圳市,南山区,海德一道保利城花园4B栋,广东深圳市南山区海德一道保利城花园4B栋,广东深圳市南山区海德一道保利城花园4B栋,113.928823,22.51623
南山后海,广东,深圳市,南山区,粤海街道恒裕深圳湾C座1409,广东深圳市南山区粤海街道恒裕深圳湾C座1409,广东深圳市南山区粤海街道恒裕深圳湾C座1409,113.940272,22.514078
南山后海,广东,深圳市,南山区,凯德公园一号广场A座,广东深圳市南山区凯德公园一号广场A座,广东深圳市南山区凯德公园一号广场A座,113.926052,22.513428
南山后海,广东,深圳市,南山区,海德一道青春家园B栋,广东深圳市南山区海德一道青春家园B栋,广东深圳市南山区海德一道青春家园B栋,113.930834,22.512697
南山后海,广东,深圳市,南山区,南山区粤海街道南山区后海大道文德福花园3栋单元,广东深圳市南山区粤海街道南山区后海大道文德福花园3栋单元,广东深圳市南山区粤海街道南山区后海大道文德福花园3栋单元,113.933284,22.505649
南山后海,广东,深圳市,南山区,深圳市南山区海岸城购物中心B,广东深圳市南山区深圳市南山区海岸城购物中心B,广东深圳市南山区深圳市南山区海岸城购物中心B,113.935767,22.51685
南山后海,广东,深圳市,南山区,百丽大厦楼,广东深圳市南山区百丽大厦楼,广东深圳市南山区百丽大厦楼,113.93896,22.506547
南山后海,广东,深圳市,南山区,创业路浪琴屿花园15单元,广东深圳市南山区创业路浪琴屿花园15单元,广东深圳市南山区创业路浪琴屿花园15单元,113.935881,22.513023
南山后海,广东,深圳市,南山区,明香茶叶市场,广东深圳市南山区明香茶叶市场,广东深圳市南山区明香茶叶市场,113.929362,22.517099
南山后海,广东,深圳市,南山区,海德一道海印长城一期7栋G,广东深圳市南山区海德一道海印长城一期7栋G,广东深圳市南山区海德一道海印长城一期7栋G,113.931397,22.517484
南山后海,广东,深圳市,南山区,南山区粤海街道海德三道滨海之窗1栋C单元,广东深圳市南山区粤海街道海德三道滨海之窗1栋C单元,广东深圳市南山区粤海街道海德三道滨海之窗1栋C单元,113.936409,22.520053
南山后海,广东,深圳市,南山区,粤海街道南山区海德三道漾日湾畔4栋,广东深圳市南山区粤海街道南山区海德三道漾日湾畔4栋,广东深圳市南山区粤海街道南山区海德三道漾日湾畔4栋,113.938794,22.519869
南山后海,广东,深圳市,南山区,后海大道名仕花园13栋,广东深圳市南山区后海大道名仕花园13栋,广东深圳市南山区后海大道名仕花园13栋,113.932393,22.512566
南山后海,广东,深圳市,南山区,茂业海德二道288号南山茂业百货楼瑞贝卡时尚假发专柜,广东深圳市南山区茂业海德二道288号南山茂业百货楼瑞贝卡时尚假发专柜,广东深圳市南山区茂业海德二道288号南山茂业百货楼瑞贝卡时尚假发专柜,113.930312,22.519895
南山后海,广东,深圳市,南山区,南山区粤海街道海珠城海虹阁14DKuppmen鼓棒,广东深圳市南山区粤海街道海珠城海虹阁14DKuppmen鼓棒,广东深圳市南山区粤海街道海珠城海虹阁14DKuppmen鼓棒,113.930642,22.51536
南山后海,广东,深圳市,南山区,南光路正龙村,广东深圳市南山区南光路正龙村,广东深圳市南山区南光路正龙村,113.92475,22.517939
南山后海,广东,深圳市,南山区,步行一街,广东深圳市南山区步行一街,广东深圳市南山区步行一街,113.927543,22.516185
南山后海,广东,深圳市,南山区,粤海街道天海花园5栋,广东深圳市南山区粤海街道天海花园5栋,广东深圳市南山区粤海街道天海花园5栋,113.934657,22.512882
南山后海,广东,深圳市,南山区,粤海街道海岸城保利文化广场B区楼号铺,广东深圳市南山区粤海街道海岸城保利文化广场B区楼号铺,广东深圳市南山区粤海街道海岸城保利文化广场B区楼号铺,113.937641,22.517146
南山后海,广东,深圳市,南山区,宝利大厦23/F,广东深圳市南山区宝利大厦23/F,广东深圳市南山区宝利大厦23/F,113.859517,22.611171
南山后海,广东,深圳市,南山区,粤海街道创业路海珠城海晖阁,广东深圳市南山区粤海街道创业路海珠城海晖阁,广东深圳市南山区粤海街道创业路海珠城海晖阁,113.931205,22.515342
南山后海,广东,深圳市,南山区,南海大道2706号保利大厦(南山区南海大道,广东深圳市南山区南海大道2706号保利大厦(南山区南海大道,广东深圳市南山区南海大道2706号保利大厦(南山区南海大道,113.927804,22.515439
南山后海,广东,深圳市,南山区,保利城花园夕,广东深圳市南山区保利城花园,广东深圳市南山区保利城花园,113.928406,22.515901
南山后海,广东,深圳市,南山区,后海大道2002号文德福花园5栋单元,广东深圳市南山区后海大道2002号文德福花园5栋单元,广东深圳市南山区后海大道2002号文德福花园5栋单元,113.932782,22.506349
南山后海,广东,深圳市,南山区,后海大道海德一道海岸明珠f,广东深圳市南山区后海大道海德一道海岸明珠f,广东深圳市南山区后海大道海德一道海岸明珠f,113.931814,22.515872
南山后海,广东,深圳市,南山区,海德三道美墅蓝山家园创美美容,广东深圳市南山区海德三道美墅蓝山家园创美美容,广东深圳市南山区海德三道美墅蓝山家园创美美容,113.931739,22.520776
南山后海,广东,深圳市,南山区,海印长城7栋,广东深圳市南山区海印长城7栋,广东深圳市南山区海印长城7栋,113.931564,22.518255
南山后海,广东,深圳市,南山区,创业路观海台花园管理处,广东深圳市南山区创业路观海台花园管理处,广东深圳市南山区创业路观海台花园管理处,113.937681,22.514616
南山后海,广东,深圳市,南山区,登良路蔚蓝海岸二期12栋,广东深圳市南山区登良路蔚蓝海岸二期12栋,广东深圳市南山区登良路蔚蓝海岸二期12栋,113.936772,22.508816
南山后海,广东,深圳市,南山区,粤海街道海德四道1号漾日湾畔3栋,广东深圳市南山区粤海街道海德四道1号漾日湾畔3栋,广东深圳市南山区粤海街道海德四道1号漾日湾畔3栋,113.938495,22.519813
南山后海,广东,深圳市,南山区,深圳市南山区明香茶叶市场外铺1003,广东深圳市南山区深圳市南山区明香茶叶市场外铺1003,广东深圳市南山区深圳市南山区明香茶叶市场外铺1003,113.929362,22.517099
南山后海,广东,深圳市,南山区,南山街道鹏润达广场东座楼泽渼堂,广东深圳市南山区南山街道鹏润达广场东座楼泽渼堂,广东深圳市南山区南山街道鹏润达广场东座楼泽渼堂,113.941539,22.517937
南山后海,广东,深圳市,南山区,天利中央广场A座,广东深圳市南山区天利中央广场A座,广东深圳市南山区天利中央广场A座,113.934029,22.518528
南山后海,广东,深圳市,南山区,粤海街道阿里中心T2栋,广东深圳市南山区粤海街道阿里中心T2栋,广东深圳市南山区粤海街道阿里中心T2栋,113.942249,22.509823
南山后海,广东,深圳市,南山区,粤海街道有线信息传输大厦,广东深圳市南山区粤海街道有线信息传输大厦,广东深圳市南山区粤海街道有线信息传输大厦,113.944859,22.528137
南山后海,广东,深圳市,南山区,观海台八栋二单元,广东深圳市南山区观海台八栋二单元,广东深圳市南山区观海台八栋二单元,113.937681,22.514616
南山后海,广东,深圳市,南山区,悦府一期1栋,广东深圳市南山区悦府一期1栋,广东深圳市南山区悦府一期1栋,113.946225,22.519435
南山后海,广东,深圳市,南山区,漾日湾畔3栋,广东深圳市南山区漾日湾畔3栋,广东深圳市南山区漾日湾畔3栋,113.938495,22.519813
南山后海,广东,深圳市,南山区,粤海街道深圳南山后海蔚蓝海岸二期8栋,广东深圳市南山区粤海街道深圳南山后海蔚蓝海岸二期8栋,广东深圳市南山区粤海街道深圳南山后海蔚蓝海岸二期8栋,113.93579,22.508438
南山后海,广东,深圳市,南山区,粤海街道深圳湾悦府柏宁花园2栋单元,广东深圳市南山区粤海街道深圳湾悦府柏宁花园2栋单元,广东深圳市南山区粤海街道深圳湾悦府柏宁花园2栋单元,113.946225,22.519435
南山后海,广东,深圳市,南山区,后海大道文德福花园一栋五单元楼天,广东深圳市南山区后海大道文德福花园一栋五单元楼天,广东深圳市南山区后海大道文德福花园一栋五单元楼天,113.932993,22.505349
南山后海,广东,深圳市,南山区,粤海街道海德三道漾日湾畔5栋,广东深圳市南山区粤海街道海德三道漾日湾畔5栋,广东深圳市南山区粤海街道海德三道漾日湾畔5栋,113.939037,22.519856
南山后海,广东,深圳市,南山区,南山区粤海街道蔚蓝海岸三期栋,广东深圳市南山区粤海街道蔚蓝海岸三期栋,广东深圳市南山区粤海街道蔚蓝海岸三期栋,113.93681,22.513415
南山后海,广东,深圳市,南山区,蔚蓝海岸三期30栋,广东深圳市南山区蔚蓝海岸三期30栋,广东深圳市南山区蔚蓝海岸三期30栋,113.936641,22.5104
